month,t_sunlit_mean_c,t_eclipse_min_c,t_orbital_avg_mean_c
1,40.605796233663824,,40.605796233663824
2,39.99665352858142,-146.93399248720792,39.958645141056955
3,38.88854947705577,-187.2251764828021,35.45923775039065
4,37.58023046991436,-183.95608660565804,36.53678342757996
5,36.41367396168876,,36.41367396168876
6,35.68408221532236,,35.68408221532236
7,35.571464760452244,,35.571464760452244
8,36.103292531363046,,36.103292531363046
9,37.1490967993016,-187.2307233306781,34.446894773153836
10,38.44682628714673,-186.77246063879218,36.653364328643775
11,39.66109740058911,,39.66109740058911
12,40.46775967418309,,40.46775967418309
